index,Year_UTC,Month_UTC,Day_UTC,hour,minute,second,Station_ID,bottle,Niskin_ID,Latitude,Longitude,Depth,CTDPRES,CTDSAL_PSS78,CTDTEMP_ITS90,oxygen,phosphate,nitrite,silicate,nitrate,density,TA,DIC,TA_ONLY,DIC_ONLY,Cast_number,Time_UTC,TA_flag,DIC_flag,TA_ONLY_flag,DIC_ONLY_flag
168,2022.0,3.0,5.0,00,15,58,15,40382,1.0,-32.50024,-97.00078,3793.7,3855.2,34.6995,1.788,167.67,2.404984334819674,0.0126989424665539,118.87480042941128,34.18262259477858,1.0237072917086594,,,2392.542298108407,2312.5751073322895,2,00:15:58,2,2,2,2
174,2022.0,3.0,5.0,00,53,26,15,40388,7.0,-32.50024,-97.00068,2097.0,2122.6,34.6542,2.0249,157.44,2.4304637774940625,0.0126993686123082,110.91921608342577,34.69955942136921,1.0236729397239817,,,2380.6225999876256,2303.0793415675244,2,00:53:26,2,2,2,2
178,2022.0,3.0,5.0,01,11,37,15,40392,11.0,-32.50014,-97.00072,1299.6,1312.9,34.5231,3.2331,121.7,2.756030632973365,0.04689453044407,82.49529480619316,38.08519750627461,1.023573528628215,2350.930233130184,2289.486205519672,,,2,01:11:37,2,2,2,2
182,2022.0,3.0,5.0,01,26,19,15,40396,15.0,-32.50028,-97.00088,600.7,605.8,34.2574,5.6575,242.64,1.8009090197237343,0.0175889106646919,10.685263228800345,25.394478353000764,1.0233720747773936,2276.971925111706,2157.5075652658325,,,2,01:26:19,2,2,2,2
196,2022.0,3.0,5.0,19,24,14,16,40410,5.0,-32.50022,-100.00037,3593.7,3650.3,34.6987,1.7797,167.2,2.4069394446664614,,120.47786910247297,34.359451309536574,1.0237066850435224,2389.7372592515985,2303.2998975900146,,,2,19:24:14,2,2,2,2
205,2022.0,3.0,5.0,19,45,51,16,40419,14.0,-32.50016,-100.00031,2594.7,2629.3,34.6839,1.7946,165.0,2.4108732451449275,,118.29690031890225,34.695865446133524,1.0236954617875973,2389.004993549903,2300.671860203248,,2308.4990489977686,2,19:45:51,2,2,2,2
214,2022.0,3.0,5.0,20,20,36,16,40428,23.0,-32.50024,-100.00024,1100.2,1110.9,34.4113,3.7713,145.84,2.5696422935530263,,54.55458064746266,36.53093373142742,1.0234887581817924,,,,2252.6871756714286,2,20:20:36,2,2,2,2
215,2022.0,3.0,5.0,20,26,50,16,40429,24.0,-32.50022,-100.0002,800.7,807.9,34.2684,5.0415,218.08,1.9924164771276256,,17.883867760858166,28.86609865170534,1.0233804143898326,2280.6811288790027,2176.9340659806894,,,2,20:26:50,2,2,2,2
221,2022.0,3.0,6.0,05,03,15,16,40435,6.0,-32.5001,-100.00004,550.1,554.8,34.278,6.0855,242.37,1.701212563452727,,8.491405615395864,24.68663653249265,1.0233876926387855,2284.521287936272,2157.072729802346,,,4,05:03:15,2,2,2,2
224,2022.0,3.0,6.0,05,09,48,16,40438,9.0,-32.5001,-100.00006,351.4,354.2,34.2532,8.3928,203.53,1.6035273449417082,,5.066599197759145,21.9383256680599,1.023368890575205,2266.943850816419,2156.6504462588705,,,4,05:09:48,2,2,2,2
230,2022.0,3.0,6.0,05,16,17,16,40444,15.0,-32.50007,-100.00008,201.1,202.7,34.4858,14.0041,230.16,0.5539569474273168,0.0576427864165991,0.1309175149122759,5.350032176564351,1.0235452459496313,2274.521439493222,2082.879385265272,,,4,05:16:17,2,2,2,2
239,2022.0,3.0,6.0,05,26,08,16,40453,24.0,-32.5001,-100.00002,6.3,6.3,35.2468,22.6105,223.03,0.170878013819346,,,,1.024122390520127,2328.550394062148,2065.771629029229,,,4,05:26:08,2,2,2,2
240,2022.0,3.0,6.0,20,21,39,17,40454,1.0,-31.42744,-102.99872,3557.3,3612.6,34.6971,1.8083,168.45,2.348331689557942,,115.28120466368176,33.77729332842534,1.023705471714065,2392.316857697296,2297.361711342118,,,2,20:21:39,2,2,2,2
245,2022.0,3.0,6.0,20,47,12,17,40459,6.0,-31.42748,-102.9988,2395.4,2426.0,34.6742,1.8271,162.65,2.446057529815773,0.0048843001793445,115.99919867932653,34.4059873233392,1.0236881060555394,2387.7810987508938,2301.2340267037275,,,2,20:47:12,2,2,2,2
246,2022.0,3.0,6.0,20,51,38,17,40460,7.0,-31.4274,-102.99872,2195.6,2222.6,34.6643,1.9226,160.47,2.4490060700410976,,112.42569229712396,34.793079057301064,1.0236805987001614,2383.0645419579605,2299.0621437693308,,,2,20:51:38,2,2,2,2
250,2022.0,3.0,6.0,21,11,24,17,40464,11.0,-31.4276,-102.99882,1297.5,1310.6,34.5046,3.3443,129.47,2.668139954207406,0.0048849138670952,68.62717793604726,37.16051676976672,1.0235595009525154,2330.530150358263,2276.294654548112,,,2,21:11:24,2,2,2,2
