Label ID,Bottle_Number,Longitude_deg_E,Latitude_deg_N,Depth_m,Turbidity_FTU,Oxygen_umolperkg,Salinity_PSU,Temperature_oC,Fluorescence_mgperm3,Pressure_dbar
40398.0,17,-97.0008223566486,-32.5002419385214,404,0.0283322580645162,197.001838709677,34.2543064516129,6.76629677419355,0.0241258064516116,407.252419354839
40399.0,18,-97.0008223566486,-32.5002419385214,398,0.0294,196.43075,34.2558125,6.7913375,0.0322750000000016,401.198
40400.0,19,-97.0008223566486,-32.5002419385214,352,0.0277357916666667,182.870291666664,34.2523166666667,7.5643875,0.036591666666674,354.789
40401.0,20,-97.0008223566486,-32.5002419385214,152,0.0378340000000001,210.455,34.3345,13.7190333333333,0.3714,153.129666666667
40402.0,21,-97.0008223566486,-32.5002419385214,93,0.0643714999999999,229.67856,34.396072,15.160572,0.724947999999997,93.67732
40403.0,22,-97.0008223566486,-32.5002419385214,72,0.0743322105263157,244.007210526316,34.3568263157895,15.8842,0.7841,72.521
40404.0,23,-97.0008223566486,-32.5002419385214,23,0.04730475,198.875,34.8925,22.1576,0.2933,23.163
40405.0,24,-97.0008223566486,-32.5002419385214,8,0.0487860000000001,197.347473684211,34.8933,22.1645789473684,0.2933,8.05681578947368
40406.0,1,-100.000312388282,-32.5001707457923,3592,0.0269506666666666,151.645333333337,34.6793777777778,1.781,0.0287333333331683,3648.529
40407.0,2,-100.000312388282,-32.5001707457923,3592,0.0269506666666666,151.645333333337,34.6793777777778,1.781,0.0287333333331683,3648.529
40408.0,3,-100.000312388282,-32.5001707457923,3591,0.027416,152.509,34.6792,1.7809,0.02585,3647.5045
40409.0,4,-100.000312388282,-32.5001707457923,3591,0.027416,152.509,34.6792,1.7809,0.02585,3647.5045
40410.0,5,-100.000312388282,-32.5001707457923,3592,0.0269506666666666,151.645333333337,34.6793777777778,1.781,0.0287333333331683,3648.529
40411.0,6,-100.000312388282,-32.5001707457923,3391,0.0257,151.960739130435,34.6790847826087,1.76344347826087,0.0295,3442.74756521739
40412.0,7,-100.000312388282,-32.5001707457923,3192,0.0243345,152.81968,34.677992,1.7545,0.0295,3239.19872
40413.0,8,-100.000312388282,-32.5001707457923,2894,0.02500625,152.301714285719,34.6753428571429,1.75497142857142,0.0243000000004093,2934.73585714286
