year,month,day,hour,minute,second,station,bottle,niskin,latitude,longitude,depth,pressure,salinity,temperature,oxygen,phosphate,nitrite,silicate,nitrate,density,alkalinity,dic_corrected,TA_only,DIC_only
2022.0,2.0,28.0,19.0,53.0,18.0,SO289_10-2,40261,24.0,-32.49817,-81.99916,7.1,7.2,34.4461,19.9161,235.76,0.2823602578425763,,,,1.0235151441217534,,,,
2022.0,3.0,1.0,14.0,20.0,41.0,SO289_11-2,40262,1.0,-32.5002,-85.00054,3772.0,3833.0,34.7017,1.6646,165.62,2.427447738569044,,125.73007077624156,34.70713004078798,1.0237089600391902,2398.4253033997,2308.5402775044704,,
2022.0,3.0,1.0,14.0,26.0,8.0,SO289_11-2,40263,2.0,-32.50017,-85.00052,3494.1,3548.2,34.6996,1.6562,165.66,2.467502022639109,,125.10020349616,34.63587459094018,1.0237073675418205,,,,
2022.0,3.0,1.0,14.0,34.0,12.0,SO289_11-2,40264,3.0,-32.50018,-85.00036,3094.0,3139.0,34.6913,1.748,162.32,2.489007842423799,,125.31880969258506,34.72107329321488,1.0237010734039127,,,,
2022.0,3.0,1.0,14.0,40.0,23.0,SO289_11-2,40265,4.0,-32.5002,-85.00044,2795.6,2834.3,34.682,1.816,158.18,2.49683982482939,,124.06148458261242,35.34552244984422,1.0236940209709495,,,,
2022.0,3.0,1.0,14.0,46.0,31.0,SO289_11-2,40266,5.0,-32.5002,-85.00044,2495.6,2528.3,34.6699,1.8995,155.16,2.5242143731193627,,121.58917910518342,35.31653337127876,1.023684845279902,,,,
2022.0,3.0,1.0,14.0,50.0,39.0,SO289_11-2,40267,6.0,-32.50026,-85.00048,2295.8,2324.8,34.6581,1.9963,151.84,2.552565716636331,,119.45577730316002,35.67242337329082,1.0236758971452875,,,,
2022.0,3.0,1.0,14.0,55.0,7.0,SO289_11-2,40268,7.0,-32.5002,-85.00046,2095.7,2121.2,34.6439,2.1405,143.95,2.613159248937761,,116.33784976270915,36.027406766663425,1.0236651291295684,2388.348991140585,2310.2098267975557,,
2022.0,3.0,1.0,14.0,59.0,11.0,SO289_11-2,40269,8.0,-32.50022,-85.0005,1895.7,1917.8,34.6279,2.3069,137.62,2.6454277083175457,,112.95917700903476,36.94122924299408,1.0236529962567942,,,,
2022.0,3.0,1.0,15.0,3.0,29.0,SO289_11-2,40270,9.0,-32.50018,-85.00045,1696.0,1715.0,34.6078,2.5285,129.19,2.700173951065705,,107.39834430474328,37.54843921243179,1.0236377544895223,,,,
2022.0,3.0,1.0,15.0,7.0,45.0,SO289_11-2,40271,10.0,-32.50024,-85.00032,1497.9,1513.9,34.5822,2.8263,122.37,2.741256075571412,,99.67386845274412,38.29161551607165,1.0236183423378615,,,,
2022.0,3.0,1.0,15.0,12.0,27.0,SO289_11-2,40272,11.0,-32.5002,-85.00038,1298.6,1311.9,34.5394,3.16,115.62,2.791167827483296,,87.72395265425537,38.79498579956657,1.02358588826816,,,,
2022.0,3.0,1.0,15.0,16.0,35.0,SO289_11-2,40273,12.0,-32.50024,-85.00042,1100.3,1111.0,34.4591,3.52,127.35,2.7161036585270306,,66.25436596967394,38.534476401426126,1.0235250010699597,2322.8807043029856,2271.9539691701366,,
2022.0,3.0,1.0,15.0,21.0,37.0,SO289_11-2,40274,13.0,-32.50022,-85.00032,900.8,909.1,34.3479,4.157,165.32,2.4613053087995884,,39.38967880652553,34.78169316289756,1.0234406885623426,,,,
2022.0,3.0,1.0,15.0,24.0,56.0,SO289_11-2,40275,14.0,-32.50022,-85.00038,750.5,757.1,34.289,4.9007,193.15,2.1936766696776413,,22.74290623017688,31.68177223205264,1.023396032346873,,,,
2022.0,3.0,1.0,15.0,28.0,18.0,SO289_11-2,40276,15.0,-32.50026,-85.00034,600.6,605.7,34.2547,5.5197,225.19,1.910354951691322,,12.331805365905106,28.00746477001364,1.0233700277894178,2275.120404681912,2174.4330783112287,,
2022.0,3.0,1.0,15.0,30.0,55.0,SO289_11-2,40277,16.0,-32.50021,-85.0004,501.7,505.9,34.262,5.9611,230.14,1.823377525163541,,9.693411066249908,26.37448166221283,1.023375562245474,,,,
2022.0,3.0,1.0,15.0,34.0,21.0,SO289_11-2,40278,17.0,-32.5002,-85.00035,400.8,404.0,34.3134,7.0066,163.24,2.112535960177333,,12.15245593743085,29.66051298389591,1.023414531518088,,,,
2022.0,3.0,1.0,15.0,36.0,51.0,SO289_11-2,40279,18.0,-32.50018,-85.00032,301.2,303.6,34.276,8.6146,162.57,1.9455021438073072,,8.669259176222214,24.89578283270848,1.0233861763337122,,,,
2022.0,3.0,1.0,15.0,38.0,57.0,SO289_11-2,40280,19.0,-32.50018,-85.00032,351.9,354.7,34.3332,8.1274,133.25,2.18871930618837,,12.469837404274989,28.374205326966106,1.0234295433254688,2267.924924298244,2206.6320314862123,,
2022.0,3.0,1.0,15.0,43.0,3.0,SO289_11-2,40281,20.0,-32.50021,-85.0003,151.3,152.5,34.3288,13.9843,231.0,0.6312130716978767,0.0742603613762207,0.1172532021729801,6.391276628445529,1.0234262073539582,,,,
2022.0,3.0,1.0,15.0,44.0,40.0,SO289_11-2,40282,21.0,-32.5002,-85.00036,102.5,103.3,34.4842,15.174,243.53,0.4298789167003055,0.5588425917103972,,2.2724962732838883,1.023544032764813,,,,
2022.0,3.0,1.0,15.0,46.0,8.0,SO289_11-2,40283,22.0,-32.50018,-85.00042,72.2,72.8,34.5727,15.9435,257.8,0.2989416473080345,0.015630935806956,,0.1768249613161903,1.0236111386804945,,,,
2022.0,3.0,1.0,15.0,48.0,25.0,SO289_11-2,40284,23.0,-32.50022,-85.00048,23.4,23.6,34.7404,20.6993,230.39,0.2559247788198955,,,0.0625159765056233,1.023738307826691,,,,
2022.0,3.0,1.0,15.0,49.0,32.0,SO289_11-2,40285,24.0,-32.50024,-85.0005,8.0,8.1,34.7415,20.6991,231.56,0.2608086269667814,,,0.0420028874890322,1.0237391420108477,,,,
2022.0,3.0,2.0,9.0,17.0,28.0,SO289_12-2,40286,1.0,-32.49782,-87.99961,3653.0,3711.0,34.7006,1.6834,166.58,2.370792942498836,,125.95386980049436,34.06146646559205,1.023708125873667,,,,
2022.0,3.0,2.0,9.0,17.0,30.0,SO289_12-2,40287,2.0,-32.49783,-87.9996,3652.8,3710.9,34.7006,1.6835,166.77,2.389352920211022,,126.62398267999755,34.155243195085205,1.023708125873667,,,,
2022.0,3.0,2.0,9.0,17.0,32.0,SO289_12-2,40288,3.0,-32.49784,-87.9996,3652.4,3710.4,34.7006,1.6836,166.35,2.3688392606343944,,125.092296098276,33.95987500864113,1.023708125873667,,,,
2022.0,3.0,2.0,9.0,17.0,34.0,SO289_12-2,40289,4.0,-32.49783,-87.9996,3652.0,3709.9,34.7006,1.6838,166.49,2.3981444886010057,,125.9646150507488,34.251950447375016,1.023708125873667,,,,
2022.0,3.0,2.0,9.0,17.0,35.0,SO289_12-2,40290,5.0,-32.49782,-87.9996,3652.1,3710.1,34.7006,1.6838,166.28,2.3981444886010057,,127.32047026467067,34.09077169355866,1.023708125873667,2395.522820516331,2305.2160374780747,,
2022.0,3.0,2.0,9.0,21.0,18.0,SO289_12-2,40291,6.0,-32.49778,-87.99958,3493.8,3548.0,34.6995,1.6838,166.52,2.394239075809513,,126.08975343387031,34.1757847026812,1.0237072917086594,,,,
2022.0,3.0,2.0,9.0,27.0,52.0,SO289_12-2,40292,7.0,-32.49788,-87.99973,3193.9,3241.1,34.6963,1.7102,166.17,2.411827944062788,,124.97547327156944,33.78512809775439,1.023704865049745,,,,
2022.0,3.0,2.0,9.0,34.0,24.0,SO289_12-2,40293,8.0,-32.4979,-87.9997,2895.3,2936.0,34.6904,1.7613,165.13,2.390347822205744,,121.54435136001214,34.10763570091367,1.023700390908792,,,,
2022.0,3.0,2.0,9.0,41.0,0.0,SO289_12-2,40294,9.0,-32.49792,-87.99962,2594.6,2629.3,34.6795,1.8358,161.76,2.4186959527586347,,119.94231173809216,34.60220033869804,1.023692125161911,,,,
2022.0,3.0,2.0,9.0,41.0,2.0,SO289_12-2,40295,10.0,-32.49792,-87.99962,2595.5,2630.2,34.6797,1.8352,161.92,2.4802375259398697,,108.38804053886732,34.48399562946173,1.0236922768265362,,,,
2022.0,3.0,2.0,9.0,41.0,4.0,SO289_12-2,40296,11.0,-32.49792,-87.99962,2596.2,2630.9,34.6796,1.8356,161.85,2.43432547164054,,117.91923381145445,34.37947457821716,1.023692200994221,,,,
2022.0,3.0,2.0,9.0,41.0,5.0,SO289_12-2,40297,12.0,-32.49793,-87.99962,2596.4,2631.1,34.6796,1.8356,161.81,2.39329751425334,,119.21552189366432,34.30718722472542,1.023692200994221,,,,
2022.0,3.0,2.0,9.0,41.0,7.0,SO289_12-2,40298,13.0,-32.49794,-87.99962,2596.1,2630.8,34.6795,1.8354,162.22,2.396228260144156,,120.02729822754692,36.02547982301522,1.023692125161911,,,,
2022.0,3.0,2.0,9.0,41.0,21.0,SO289_12-2,40299,14.0,-32.49792,-87.99962,2595.9,2630.6,34.6795,1.8365,162.49,2.421626521360523,,121.33823924879172,34.174337322822325,1.023692125161911,2385.6596999086028,2298.590939984284,,
2022.0,3.0,2.0,9.0,47.0,41.0,SO289_12-2,40300,15.0,-32.49794,-87.99962,2295.5,2324.5,34.6596,1.9788,157.31,2.4558526908257003,,116.90112794686586,34.693559393267606,1.023677034616742,,,,
2022.0,3.0,2.0,9.0,52.0,27.0,SO289_12-2,40301,16.0,-32.49792,-87.99958,2097.2,2122.7,34.6432,2.116,152.03,2.4969115901922576,,113.46880627824392,35.11208657522704,1.0236645983141088,,,,
2022.0,3.0,2.0,9.0,59.0,5.0,SO289_12-2,40302,17.0,-32.49796,-87.99948,1798.6,1819.2,34.614,2.4444,135.9,2.6044249968365243,,109.17288488239646,36.639746410859225,1.0236424559118684,,,,
2022.0,3.0,2.0,10.0,5.0,35.0,SO289_12-2,40303,18.0,-32.49788,-87.9995,1498.5,1514.6,34.5782,2.8512,124.69,2.694371581953934,,99.0489289162964,37.32847648530088,1.0236153092143006,,,,
2022.0,3.0,2.0,10.0,12.0,10.0,SO289_12-2,40304,19.0,-32.49794,-87.99954,1248.7,1261.3,34.5261,3.2896,116.77,2.728669426067145,,82.91325343768938,38.071435325603495,1.023575803400112,,,,
2022.0,3.0,2.0,10.0,12.0,12.0,SO289_12-2,40305,20.0,-32.49794,-87.99954,1248.9,1261.5,34.5261,3.2889,116.8,2.746254835902164,,82.29385622461147,37.91023573544916,1.023575803400112,,,,
2022.0,3.0,2.0,10.0,12.0,14.0,SO289_12-2,40306,21.0,-32.49794,-87.99955,1249.3,1261.9,34.5262,3.2898,116.76,2.7257383225071443,,83.27765603900771,38.2326320835106,1.023575879225907,,,,
2022.0,3.0,2.0,10.0,12.0,16.0,SO289_12-2,40307,22.0,-32.49794,-87.99956,1249.5,1262.1,34.526,3.2909,116.82,2.7335544646322623,,82.92889105641349,38.311772098125154,1.0235757275743205,,,,
2022.0,3.0,2.0,10.0,16.0,17.0,SO289_12-2,40308,23.0,-32.49794,-87.99964,1099.4,1110.2,34.4622,3.5329,127.41,2.740522757560128,,66.75639873647445,37.847547444693134,1.0235273515835628,,,,
2022.0,3.0,2.0,10.0,23.0,39.0,SO289_12-2,40309,24.0,-32.49794,-87.99958,800.0,807.2,34.2884,4.7479,197.14,2.129186453418474,,23.500199267881737,31.023194451391987,1.0233955774523873,,,,
2022.0,3.0,2.0,19.0,4.0,27.0,SO289_12-4,40310,1.0,-32.49802,-87.99978,702.3,708.5,34.2596,5.1696,218.38,1.9611603427630568,,15.804587635201631,28.23895004758823,1.0233737426957965,,,,
2022.0,3.0,2.0,19.0,9.0,50.0,SO289_12-4,40311,2.0,-32.49802,-87.99978,552.6,557.3,34.2555,5.7245,230.79,1.7891855976942102,,10.360860126898803,26.266143564183707,1.023370634304053,,,,
2022.0,3.0,2.0,19.0,9.0,52.0,SO289_12-4,40312,3.0,-32.49802,-87.99978,552.5,557.2,34.2547,5.729,231.06,1.784300839789439,,10.39018117715285,26.10883578222017,1.0233700277894178,,,,
2022.0,3.0,2.0,19.0,9.0,54.0,SO289_12-4,40313,4.0,-32.49802,-87.99978,552.2,556.9,34.2555,5.7171,231.29,1.784299782299087,,10.323727929895863,26.12934073312025,1.023370634304053,,,,
2022.0,3.0,2.0,19.0,9.0,56.0,SO289_12-4,40314,5.0,-32.49802,-87.99978,552.2,556.9,34.255,5.7177,231.53,1.79309491419929,,10.373567089449407,26.26517613011592,1.0233702552323745,,,,
2022.0,3.0,2.0,19.0,9.0,58.0,SO289_12-4,40315,6.0,-32.49802,-87.99978,552.6,557.3,34.2548,5.7178,231.77,1.792118016289206,,10.3530481911582,26.2700658396505,1.0233701036037324,2279.9606275025,2169.419716627958,,
2022.0,3.0,2.0,19.0,16.0,29.0,SO289_12-4,40316,7.0,-32.498,-87.99976,352.7,355.5,34.2941,7.4758,167.3,1.980652921763553,,10.306821420208168,27.41743479613396,1.023399898956138,,,,
2022.0,3.0,2.0,19.0,16.0,31.0,SO289_12-4,40317,8.0,-32.498,-87.99976,352.6,355.4,34.2965,7.4762,166.97,2.001169201591891,,8.994512939772147,27.30794710785575,1.0234017185407691,,,,
2022.0,3.0,2.0,19.0,16.0,33.0,SO289_12-4,40318,9.0,-32.49799,-87.99976,352.4,355.2,34.294,7.4922,168.14,1.9523161474363029,,10.089898167381014,27.234712543215533,1.0233998231401646,2272.96364589128,2193.2304232188226,,
2022.0,3.0,2.0,19.0,16.0,35.0,SO289_12-4,40319,10.0,-32.49798,-87.99976,353.2,356.0,34.2928,7.4958,167.19,1.9513407469481547,,10.212049146897929,27.340267450981155,1.0233989133488115,,,,
2022.0,3.0,2.0,19.0,16.0,38.0,SO289_12-4,40320,11.0,-32.498,-87.99976,353.5,356.3,34.2954,7.4628,167.34,1.9425427806295117,,10.017579772139715,26.914184280512707,1.023400884564178,,,,
