bottle,salinity,total_phosphate,total_silicate,total_ammonium,alkalinity,dic_corrected
SO289-41186,35.7038,0.2245065273346166,0.3543298670541992,0.0,2325.33070752492,2180.049554315525
SO289-41182,35.692,0.2928371601280595,0.4841574380783917,0.0,2325.882818571551,2097.2054936350864
SO289-40158,34.54,2.803867029872295,23.062050559987945,0.0,2279.825160629386,2280.2414495074404
SO289-40524,34.3901,2.4954256614061374,49.22652140679876,0.0,2305.9219630748494,2236.8495854782896
SO289-41005,34.6789,2.519313261166236,130.6555517620183,0.0,2404.81765895519,2315.8657284268206
SO289-40131,34.5739,2.7842579655630746,96.36170278920878,0.0,2366.458328244886,2307.852088396012
SO289-41209,34.6939,1.22105722556356,4.809988622939976,0.0,2282.5701864219927,2143.031502809045
SO289-40149,34.6719,2.5496090375844456,121.97681306016068,0.0,2383.429607252754,2319.565144321557
SO289-41208,34.3977,1.5769750749534792,8.145750433635165,0.0,2275.214103399106,2150.9316539039805
SO289-40622,34.6774,2.473403747674078,119.9737577702763,0.0,2390.216401779041,2298.3740321369573
SO289-41206,34.34,1.936615987385063,20.02765786752353,0.0,2248.769474367713,2201.9299627331316
SO289-40525,34.2783,1.817492627669548,11.175625367019686,0.0,2274.8491757383395,2161.2474561300546
SO289-40597,34.3777,2.541371091909216,45.95279654885903,0.0,2303.509474686251,2236.0659686798303
SO289-40138,34.5106,2.7140460812104314,20.955210365688465,0.0,2274.0153755788283,2276.183575894572
SO289-40693,34.6873,2.4186819775199124,120.0031602957951,0.0,2393.7698964556503,2303.7884433236004
SO289-40133,34.3287,2.356789538272536,28.44953739483547,0.0,2284.626112104557,2220.677440582422
SO289-41004,34.6998,2.399122751291044,124.04519613006696,0.0,2386.79751376716,2302.894877392605
SO289-41303,35.3144,0.7625659812076504,2.975081363303087,0.0,2310.2367740508994,2128.3805888865636
SO289-40999,34.891,0.0351613140526741,0.2285485413423822,0.0,2284.847791082237,1980.8138530337376
SO289-41187,35.6848,0.2137722668570605,0.3211464648217941,0.0,2318.900347500758,2092.3335521038725
SO289-40469,34.2876,1.631823535822032,5.869679029750268,0.0,2266.661428599537,2156.50356502395
SO289-40613,35.0832,0.1562502601731159,0.0,0.0,2300.627668804502,2057.701089175679
SO289-41305,35.6862,0.3279790282472843,0.7262392768332724,0.0,2329.3674400011832,2088.423502647816
SO289-41013,34.3196,1.8428420540877768,14.920571668038365,0.0,2276.075323944724,2168.5823923023404
SO289-40152,34.5052,2.8293408542426475,76.62277089659612,0.0,2332.223442576681,2292.387598469292
SO289-40172,34.7015,2.4342859801717736,123.16002262442105,0.0,2398.0219058083994,2304.84529597403
SO289-40513,34.6778,2.4567964384584635,117.59116694724231,0.0,2384.5648765006044,2299.5830219800214
SO289-578,35.0,0.0,0.0,0.0,2384.330376867053,2303.048819660237
SO289-41193,34.6398,2.4304897038463165,109.990404833267,0.0,2387.620064733946,2298.1356058582223
SO289-40588,34.6488,2.483224934317829,109.05284512888927,0.0,2376.218652087417,2295.206482827108
SO289-41291,34.6813,2.451905794230024,122.21822372083476,0.0,2393.03159111911,2313.8669809854264
SO289-40605,34.3662,1.319061977261902,2.5453010746424103,0.0,2270.2231806644354,2137.4775904138933
SO289-40983,34.656,2.564292165957012,124.73889343062196,0.0,2394.8397393062687,2311.550664547127
SO289-40659,34.641,2.509615152229716,109.54094039119298,0.0,2384.4788721567315,2295.0526656215156
SO289-41198,34.6255,2.478383319093745,107.22304876642112,0.0,2357.9465641652096,2317.3730307406777
SO289-40464,34.5046,2.668139954207406,68.62717793604726,0.0,2330.530150358263,2276.2946545481113
SO289-41309,35.3152,0.0283154934072931,0.1503650339559703,0.0,2310.305183184648,1989.839258461412
SO289-41171,34.8174,0.9777331750349276,2.925385473755853,0.0,2295.334604055805,2138.3822824226577
SO289-40120,34.7071,2.412785484992154,125.03894462386056,0.0,2400.3635067883697,2309.962638811215
SO289-40126,34.6992,2.4694564376703245,123.81667024825512,0.0,2401.8990250075244,2313.0748556338376
SO289-41293,34.668,2.47146724166989,119.16477249390704,0.0,2393.7934620705714,2315.469519272987
SO289-40855,35.1972,0.1230366900859115,0.1777196634574277,0.0,2304.5717349705315,2060.33503202819
SO289-41308,35.3224,0.0527251203353112,0.131812800838278,0.0,2310.1626039415123,1996.018672020841
SO289-41298,34.564,2.3925255313730203,88.02032067196667,0.0,2361.614157962316,2273.180867612625
SO289-40003,34.6036,2.988371134244887,26.59152084803721,0.0,2287.739231464668,2294.4490418150403
SO289-40638,34.4582,1.0971893676804303,1.525122531566475,0.0,2275.2739680422083,2124.28056159238
SO289-41039,35.6031,0.1542377262216185,0.283094560786515,0.0,2326.1465655843376,2074.6987202415157
SO289-41300,34.408,2.1270437067806824,39.59701437974309,0.0,2292.8045241246414,2214.503894833439
SO289-40967,35.5853,0.1640017697536589,0.2830982930271493,0.0,2326.9097200591887,2086.040420199167
SO289-40159,34.5539,2.776483640021252,22.27341678706703,0.0,2276.812806345794,2282.447424542824
SO289-41290,34.6854,2.4558057551223773,123.09506555866388,0.0,2390.8314250746407,2320.7801277150356
SO289-41033,35.3831,0.4364272074292494,0.8923813592624922,0.0,2316.4141496491884,2107.332534689244
SO289-40649,34.6824,2.4763251488493268,120.96188975610038,0.0,2398.0527538157344,2305.660622782047
SO289-41185,35.6975,0.2830747683423398,0.4499912696752367,0.0,2312.634339604301,2116.631136284223
SO289-40146,34.6999,2.468478315722546,123.94359543154256,0.0,2403.607944740072,2310.6881297222008
SO289-40240,34.7019,2.3776285393655128,122.9450813330088,0.0,2407.933108050082,2310.8398914083596
SO289-41299,34.4841,2.302783367550408,65.47935684200078,0.0,2325.661888539528,2245.9549612671135
SO289-41294,34.6587,2.482229851948353,117.36815034318724,0.0,2385.245175477787,2309.642659825167
SO289-41266,34.6933,2.472397769208789,124.083890412385,0.0,2392.353253550111,2319.5705050262345
SO289-40162,33.9873,1.2822927201456558,1.890208933507392,0.0,2250.4387466915014,2121.5481691298605
SO289-41175,35.4823,0.486185191942213,1.2242494592279822,0.0,2321.997982706457,2112.3610261790313
